project_id,project_name,task_id,job_id,assignee,job_status,job_created,job_updated,job_duration_hours
311417,test_coco_keypoints,1618062,2955712,,annotation,2025-09-09 11:29:27.769197+00:00,2025-09-09 11:43:40.535049+00:00,0.24
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878365,qed-ann-2@qed.ai,annotation,2025-08-21 08:22:33.823215+00:00,2025-09-04 11:05:20.477131+00:00,338.71
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878364,qed-ann-5@qed.ai,annotation,2025-08-21 08:22:33.805608+00:00,2025-09-04 11:07:00.579316+00:00,338.74
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878363,qed-ann-2@qed.ai,annotation,2025-08-21 08:22:33.788343+00:00,2025-09-04 11:07:14.483416+00:00,338.74
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878362,qed-ann-2@qed.ai,annotation,2025-08-21 08:22:33.771814+00:00,2025-09-04 11:07:25.515306+00:00,338.75
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878361,qed-ann-6@qed.ai,annotation,2025-08-21 08:22:33.755960+00:00,2025-09-04 11:07:38.117715+00:00,338.75
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878360,qed-ann-6@qed.ai,annotation,2025-08-21 08:22:33.739224+00:00,2025-09-04 11:07:50.246067+00:00,338.75
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878359,qed-ann-7@qed.ai,annotation,2025-08-21 08:22:33.720330+00:00,2025-09-04 11:08:09.453249+00:00,338.76
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878358,qed-ann-8@qed.ai,annotation,2025-08-21 08:22:33.702648+00:00,2025-09-04 11:08:24.460025+00:00,338.76
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878357,qed-ann-8@qed.ai,annotation,2025-08-21 08:22:33.686178+00:00,2025-09-04 11:10:38.622054+00:00,338.8
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878356,qed-ann-9@qed.ai,annotation,2025-08-21 08:22:33.668309+00:00,2025-09-04 11:11:19.006207+00:00,338.81
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878355,qed-ann-3@qed.ai,annotation,2025-08-21 08:22:33.651487+00:00,2025-09-04 11:12:53.099302+00:00,338.84
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878354,qed-ann-8@qed.ai,annotation,2025-08-21 08:22:33.634572+00:00,2025-09-04 11:13:17.752481+00:00,338.85
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878353,qed-ann-7@qed.ai,annotation,2025-08-21 08:22:33.618055+00:00,2025-09-04 11:13:33.087690+00:00,338.85
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878352,qed-ann-4@qed.ai,annotation,2025-08-21 08:22:33.601022+00:00,2025-09-04 11:14:29.200973+00:00,338.87
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878351,qed-ann-4@qed.ai,annotation,2025-08-21 08:22:33.582881+00:00,2025-09-04 11:14:47.529709+00:00,338.87
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878350,qed-ann-8@qed.ai,annotation,2025-08-21 08:22:33.565405+00:00,2025-09-04 11:15:29.343938+00:00,338.88
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878349,qed-ann-6@qed.ai,annotation,2025-08-21 08:22:33.546455+00:00,2025-09-04 11:15:52.226168+00:00,338.89
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878348,qed-ann-3@qed.ai,annotation,2025-08-21 08:22:33.528758+00:00,2025-09-04 11:16:05.568564+00:00,338.89
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878347,qed-ann-6@qed.ai,annotation,2025-08-21 08:22:33.512284+00:00,2025-09-04 11:17:49.341275+00:00,338.92
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1581868,2878346,qed-ann-9@qed.ai,annotation,2025-08-21 08:22:33.489585+00:00,2025-09-04 11:19:31.844494+00:00,338.95
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1580069,2876439,qed-ann-8@qed.ai,annotation,2025-08-20 13:00:55.741794+00:00,2025-08-22 15:32:22.949895+00:00,50.52
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1580069,2876438,qed-ann-5@qed.ai,annotation,2025-08-20 13:00:55.723935+00:00,2025-08-22 15:32:31.859743+00:00,50.53
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1580069,2876437,qed-ann-3@qed.ai,annotation,2025-08-20 13:00:55.706704+00:00,2025-08-30 12:18:20.793850+00:00,239.29
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1580069,2876436,qed-ann-6@qed.ai,annotation,2025-08-20 13:00:55.690142+00:00,2025-08-22 15:32:56.224780+00:00,50.53
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1580069,2876435,qed-ann-7@qed.ai,annotation,2025-08-20 13:00:55.672887+00:00,2025-08-22 15:33:04.423853+00:00,50.54
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1580069,2876434,qed-ann-6@qed.ai,annotation,2025-08-20 13:00:55.656154+00:00,2025-08-22 15:33:13.643543+00:00,50.54
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1580069,2876433,qed-ann-2@qed.ai,annotation,2025-08-20 13:00:55.638682+00:00,2025-08-22 15:33:32.790803+00:00,50.54
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1580069,2876432,qed-ann-6@qed.ai,annotation,2025-08-20 13:00:55.621924+00:00,2025-08-22 15:33:48.557256+00:00,50.55
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1580069,2876431,qed-ann-4@qed.ai,annotation,2025-08-20 13:00:55.605430+00:00,2025-08-22 15:34:04.534467+00:00,50.55
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1580069,2876430,qed-ann-6@qed.ai,annotation,2025-08-20 13:00:55.588283+00:00,2025-08-22 15:34:12.928731+00:00,50.55
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1580069,2876429,qed-ann-7@qed.ai,annotation,2025-08-20 13:00:55.570873+00:00,2025-08-22 15:34:30.878940+00:00,50.56
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1580069,2876428,qed-ann-7@qed.ai,annotation,2025-08-20 13:00:55.552863+00:00,2025-08-22 15:34:42.426698+00:00,50.56
305167,ImageSafari_Cassava_PlantPart_segmentation_2025-08-19,1580069,2876427,qed-ann-6@qed.ai,annotation,2025-08-20 13:00:55.535134+00:00,2025-08-22 15:34:53.068428+00:00,50.57
